GeographicAreaName,Over25Bachelors,Population,Median Earnings
Alabama,547975,3360058,37217
Alaska,89583,484058,47809
Arizona,931038,4944540,39956
Arkansas,307185,2036456,35215
California,5889724,26937872,45095
Colorado,1057825,3974943,46887
Connecticut,549166,2496420,50788
Delaware,134287,687311,43164
District of Columbia,129825,505145,71361
Florida,2982643,15484502,36021
Georgia,1410395,7080222,40312
Hawaii,219979,996668,44557
Idaho,220189,1170997,36445
Illinois,1886240,8694694,45015
Indiana,777771,4502015,39833
Iowa,420199,2123004,41268
Kansas,414851,1918081,41181
Kentucky,453040,3048442,37674
Louisiana,503947,3140201,37599
Maine,205722,991152,39550
Maryland,911781,4183858,52011
Massachusetts,1197208,4850576,52470
Michigan,1252685,6894627,40450
Minnesota,942830,3847212,47050
Mississippi,270712,1979664,32574
Missouri,775808,4206162,40078
Montana,171309,741950,36953
Nebraska,277159,1271770,41488
Nevada,355837,2136466,39505
New Hampshire,224636,979750,47392
New Jersey,1555781,6191229,51786
New Mexico,221281,1425988,35284
New York,2898440,13664734,47645
North Carolina,1471420,7187077,38534
North Dakota,108527,504375,43865
Ohio,1464945,8049805,40586
Oklahoma,447888,2619244,38088
Oregon,627911,2988118,40774
Pennsylvania,1761627,9028036,42229
Rhode Island,156087,746952,46060
South Carolina,656496,3563204,37727
South Dakota,121231,588029,38646
Tennessee,845100,4693962,37610
Texas,3750797,18772550,40895
Utah,448109,1911592,41679
Vermont,101015,445558,41496
Virginia,1312800,5872757,46873
Washington,1204728,5290324,48567
West Virginia,161686,1281086,35440
Wisconsin,829878,4015285,42222
Wyoming,73183,389847,40800
Puerto Rico,443589,2301735,18587
